WKT,link_id,source,target,direction
"LINESTRING (667301.799639762 6837947.59963065,667295.79988169 6837942.60041842,667289.100236524 6837934.60006092,667284.400143812 6837925.80022908,667281.500033598 6837915.30040356,667278.69977738 6837912.60012397,667268.099794075 6837905.70013742,667258.79974945 6837904.99980804,667234.90002034 6837913.30023589,667223.400268915 6837926.00016301,667219.900126766 6837927.49963602,667215.99995423 6837927.69949466,667209.799654948 6837925.69991762)",troncon_de_route.TRONROUT0000000233778723,94,95,0
"LINESTRING (667090.499985397 6837911.60048383,667082.299648364 6837907.19983796,667070.699977236 6837901.80007165,667053.399990719 6837897.09966335,667023.80016954 6837893.99990502,666979.800154773 6837894.10049807,666963.60016205 6837894.60048438,666946.100111236 6837902.29987659,666936.499949372 6837907.39959531)",troncon_de_route.TRONROUT0000000233778724,96,97,0
"LINESTRING (666937.300079979 6837913.09948839,666939.499929795 6837932.89966293)",troncon_de_route.TRONROUT0000000233778727,42,41,0
"LINESTRING (667298.19998751 6837766.49984571,667294.199675987 6837766.60015571)",troncon_de_route.TRONROUT0000000233778728,92,85,0
"LINESTRING (667209.799654948 6837925.69991762,667196.399870644 6837922.60027218,667186.099791043 6837919.90008323,667178.0 6837921.2998978,667166.600293535 6837920.10015272,667137.899637546 6837914.80012588,667125.599917197 6837912.5004555,667115.69973825 6837910.29953505,667105.400131862 6837910.29995073,667090.499985397 6837911.60048383)",troncon_de_route.TRONROUT0000000233778729,95,96,0
"LINESTRING (667090.499985397 6837911.60048383,667089.700098723 6837917.8997929)",troncon_de_route.TRONROUT0000000233778730,96,26,0
"LINESTRING (667283.80015108 6837768.39964101,667270.400025154 6837772.49957664,667258.199914787 6837777.60004297,667246.299797183 6837781.80054532,667232.599671418 6837786.00009246,667227.899924118 6837785.79976571,667225.500017747 6837784.60035634,667218.800141108 6837775.30044331,667214.099990728 6837769.80037704,667208.899670891 6837765.5004977,667206.299940099 6837763.10041173,667204.700312537 6837759.69966548,667203.599848561 6837754.39944601,667201.699893477 6837745.30040879,667199.100220796 6837738.60004498,667196.600246027 6837735.60016364,667193.300348365 6837733.29964297)",troncon_de_route.TRONROUT0000000233778732,86,91,0
"LINESTRING (667193.300348365 6837733.29964297,667194.600216751 6837732.79980434,667223.599959452 6837722.8995773,667233.29997027 6837717.89983825,667238.000347966 6837714.80046814,667259.999896924 6837708.19952295,667293.200111172 6837696.40047405,667303.399921213 6837690.89997623,667313.799736356 6837682.70013703,667320.899995269 6837677.49947179,667326.299659897 6837676.09945921,667338.200021215 6837671.50000295,667349.399917776 6837669.6994607,667365.600100163 6837670.30008015,667376.000157669 6837670.3996223,667387.400280337 6837668.30007952,667392.699915489 6837668.89962946,667396.099759787 6837668.40029642,667408.600141581 6837666.20013012,667418.200078614 6837667.10024828,667437.099695226 6837671.60044796,667443.499812889 6837670.29945017)",troncon_de_route.TRONROUT0000000233778733,91,98,0
"LINESTRING (666727.799632711 6837736.4001323,666727.300077453 6837728.79967149,666731.099926357 6837721.60042749,666737.799927554 6837717.49975234,666744.20015822 6837717.80002716)",troncon_de_route.TRONROUT0000000233778743,34,99,1
"LINESTRING (666787.800156209 6838183.90001415,666785.399654787 6838175.09966729,666785.300197285 6838167.09999368,666786.699899624 6838158.30018659)",troncon_de_route.TRONROUT0000000238977870,22,100,1
"LINESTRING (666810.199818671 6838133.79957809,666817.299895412 6838132.10032634,666825.299937341 6838131.49993069,666832.900341333 6838133.29989494)",troncon_de_route.TRONROUT0000000238977871,38,101,1
"LINESTRING (666813.199717042 6838205.70014055,666804.699791289 6838201.69959745,666798.500104007 6838197.2000981,666792.699671178 6838191.39978784,666787.800156209 6838183.90001415)",troncon_de_route.TRONROUT0000000238977872,5,22,1
"LINESTRING (666858.800269298 6838180.19983818,666855.800219169 6838186.79967459,666852.200226415 6838193.100532,666846.499815047 6838199.80025524,666839.800195712 6838204.40000183)",troncon_de_route.TRONROUT0000000238977873,3,6,1
"LINESTRING (666857.300193925 6838154.19981953,666860.499881455 6838163.50038147,666860.899933165 6838171.00027377,666858.800269298 6838180.19983818)",troncon_de_route.TRONROUT0000000238977874,8,3,1
"LINESTRING (666832.900341333 6838133.29989494,666841.099744565 6838137.29996704,666847.60013453 6838142.20025414,666853.09979243 6838148.10016578,666857.300193925 6838154.19981953)",troncon_de_route.TRONROUT0000000238977875,101,8,1
