WKT,link_id,source,target,direction
"LINESTRING (2.54498738 48.63651325,2.54498736 48.63651595,2.54507575 48.6364956,2.54540713 48.63646988,2.54557282 48.63645612,2.54570861 48.63644764)",troncon_de_route.TRONROUT0000000002223351,"1606","1607","0"
"LINESTRING (2.54516644 48.63917828,2.54500681 48.63927391,2.54485109 48.63938845)",troncon_de_route.TRONROUT0000000002223356,"1609","1599","0"
"LINESTRING (2.54323235 48.63933549,2.54319068 48.63928855)",troncon_de_route.TRONROUT0000000002223357,"1610","1611","0"
"LINESTRING (2.54243159 48.63778166,2.5423781 48.63784532,2.54181596 48.63833969)",troncon_de_route.TRONROUT0000000002223358,"1604","1612","0"
"LINESTRING (2.54319068 48.63928855,2.54370759 48.63884528)",troncon_de_route.TRONROUT0000000002223359,"1611","1613","0"
"LINESTRING (2.54388943 48.63651265,2.54335058 48.63698553,2.54331652 48.63700069)",troncon_de_route.TRONROUT0000000002223360,"1614","1603","0"
"LINESTRING (2.54630141 48.6388291,2.5456782 48.63901292)",troncon_de_route.TRONROUT0000000002223361,"1564","1615","0"
"LINESTRING (2.5425558 48.63847746,2.54295626 48.63815697,2.54304229 48.63809704,2.54308043 48.63808189)",troncon_de_route.TRONROUT0000000002223362,"1616","1595","0"
"LINESTRING (2.54438462 48.63700118,2.54492874 48.63654541,2.54498738 48.63651325)",troncon_de_route.TRONROUT0000000002223366,"1620","1606","0"
"LINESTRING (2.54284667 48.63656443,2.54248813 48.63659183,2.54246909 48.63659716,2.54245264 48.6367707)",troncon_de_route.TRONROUT0000000002223367,"1617","1621","0"
"LINESTRING (2.54570861 48.63644764,2.54573388 48.63650711,2.54580759 48.63661443,2.54585336 48.63665778,2.54592362 48.63669403)",troncon_de_route.TRONROUT0000000002223369,"1607","1622","0"
"LINESTRING (2.54438462 48.63700118,2.54461556 48.63713249,2.54467368 48.6371597,2.54471834 48.63717426,2.54476458 48.63716275,2.54482598 48.6371252,2.54505563 48.63693718)",troncon_de_route.TRONROUT0000000002223370,"1620","1623","0"
"LINESTRING (2.54365945 48.63954041,2.54336507 48.63983522)",troncon_de_route.TRONROUT0000000002223371,"1600","1624","0"
"LINESTRING (2.54516644 48.63917828,2.54507804 48.63904301,2.54504624 48.63895384)",troncon_de_route.TRONROUT0000000002223372,"1609","1625","0"
"LINESTRING (2.54181596 48.63833969,2.54126883 48.63882332,2.54122052 48.63891488,2.5412443 48.63898873,2.54133337 48.63904664)",troncon_de_route.TRONROUT0000000002223373,"1612","1593","0"
"LINESTRING (2.54397167 48.63735401,2.54399228 48.6373253,2.54438462 48.63700118)",troncon_de_route.TRONROUT0000000002223374,"1626","1620","0"
"LINESTRING (2.54195439 48.63895998,2.5425558 48.63847746)",troncon_de_route.TRONROUT0000000002223378,"1630","1616","0"
"LINESTRING (2.54443222 48.63886064,2.54434601 48.63894127,2.5442302 48.638993,2.54409028 48.63900685,2.54396157 48.63898028,2.54385349 48.63892319,2.54380485 48.63889782,2.54377243 48.63888061)",troncon_de_route.TRONROUT0000000002223379,"1631","1632","0"
